speaker_id,utterance_count,valid_readable_wav_count,invalid_wav_count,zero_frame_count,duration_seconds,provenance_classes,exact_duplicate_file_count,candidate_source_group_count,positive_pair_support_status
1,141,141,0,0,423.0,train,0,141,at_least_two_nonzero_readable
2,166,166,0,0,498.0,train,0,166,at_least_two_nonzero_readable
3,153,153,0,0,459.0,train,0,153,at_least_two_nonzero_readable
4,12,12,0,0,36.0,train,0,12,at_least_two_nonzero_readable
5,12,12,0,0,36.0,train,0,12,at_least_two_nonzero_readable
6,109,109,0,0,327.0,train,0,109,at_least_two_nonzero_readable
7,159,159,0,0,477.0,train,0,159,at_least_two_nonzero_readable
8,10,10,0,0,30.0,train,0,10,at_least_two_nonzero_readable
9,46,46,0,0,138.0,train,0,46,at_least_two_nonzero_readable
10,45,45,0,0,135.0,train,0,45,at_least_two_nonzero_readable
11,414,414,0,0,1242.0,train,0,414,at_least_two_nonzero_readable
12,154,154,0,0,462.0,train,0,154,at_least_two_nonzero_readable
13,442,442,0,0,1326.0,train,0,442,at_least_two_nonzero_readable
14,7,7,0,0,21.0,train,0,7,at_least_two_nonzero_readable
15,469,469,0,0,1407.0,train,0,469,at_least_two_nonzero_readable
16,109,109,0,0,327.0,train,0,109,at_least_two_nonzero_readable
17,6,6,0,0,18.0,train,0,6,at_least_two_nonzero_readable
18,92,92,0,0,276.0,train,0,92,at_least_two_nonzero_readable
19,12,12,0,0,36.0,train,0,12,at_least_two_nonzero_readable
20,24,24,0,0,72.0,train,0,24,at_least_two_nonzero_readable
21,127,127,0,0,381.0,train,0,127,at_least_two_nonzero_readable
22,56,56,0,0,168.0,train,0,56,at_least_two_nonzero_readable
23,18,18,0,0,54.0,train,0,18,at_least_two_nonzero_readable
24,101,101,0,0,303.0,train,0,101,at_least_two_nonzero_readable
25,76,76,0,0,228.0,train,0,76,at_least_two_nonzero_readable
26,226,226,0,0,678.0,train,0,226,at_least_two_nonzero_readable
27,14,14,0,0,42.0,train,0,14,at_least_two_nonzero_readable
28,187,187,0,0,561.0,train,0,187,at_least_two_nonzero_readable
29,186,186,0,0,558.0,train,0,186,at_least_two_nonzero_readable
30,110,110,0,0,330.0,train,0,110,at_least_two_nonzero_readable
31,196,196,0,0,588.0,train,0,196,at_least_two_nonzero_readable
32,16,16,0,0,48.0,train,0,16,at_least_two_nonzero_readable
33,72,72,0,0,216.0,train,0,72,at_least_two_nonzero_readable
34,99,99,0,0,297.0,train,0,99,at_least_two_nonzero_readable
35,76,76,0,0,228.0,train,0,76,at_least_two_nonzero_readable
36,23,23,0,0,69.0,train,0,23,at_least_two_nonzero_readable
37,175,175,0,0,525.0,train,0,175,at_least_two_nonzero_readable
38,30,30,0,0,90.0,train,0,30,at_least_two_nonzero_readable
39,37,37,0,0,111.0,train,0,37,at_least_two_nonzero_readable
40,44,44,0,0,132.0,train,0,44,at_least_two_nonzero_readable
41,128,128,0,0,384.0,train,0,128,at_least_two_nonzero_readable
42,51,51,0,0,153.0,train,0,51,at_least_two_nonzero_readable
43,116,116,0,0,348.0,train,0,116,at_least_two_nonzero_readable
44,153,153,0,0,459.0,train,0,153,at_least_two_nonzero_readable
45,35,35,0,0,105.0,train,0,35,at_least_two_nonzero_readable
46,32,32,0,0,96.0,train,0,32,at_least_two_nonzero_readable
47,181,181,0,0,543.0,train,0,181,at_least_two_nonzero_readable
48,46,46,0,0,138.0,train,0,46,at_least_two_nonzero_readable
49,386,386,0,0,1158.0,train,0,386,at_least_two_nonzero_readable
50,146,146,0,0,438.0,train,0,146,at_least_two_nonzero_readable
51,26,26,0,0,78.0,train,0,26,at_least_two_nonzero_readable
52,5,5,0,0,15.0,train,0,5,at_least_two_nonzero_readable
53,102,102,0,0,306.0,train,0,102,at_least_two_nonzero_readable
54,13,13,0,0,39.0,train,0,13,at_least_two_nonzero_readable
55,74,74,0,0,222.0,train,0,74,at_least_two_nonzero_readable
56,277,277,0,0,831.0,train,0,277,at_least_two_nonzero_readable
57,319,319,0,0,957.0,train,0,319,at_least_two_nonzero_readable
58,122,122,0,0,366.0,train,0,122,at_least_two_nonzero_readable
59,12,12,0,0,36.0,train,0,12,at_least_two_nonzero_readable
60,235,235,0,0,705.0,train,0,235,at_least_two_nonzero_readable
61,66,66,0,0,198.0,train,0,66,at_least_two_nonzero_readable
62,90,90,0,0,270.0,train,0,90,at_least_two_nonzero_readable
63,38,38,0,0,114.0,train,0,38,at_least_two_nonzero_readable
64,169,169,0,0,507.0,train,0,169,at_least_two_nonzero_readable
65,130,130,0,0,390.0,train,0,130,at_least_two_nonzero_readable
66,21,21,0,0,63.0,train,0,21,at_least_two_nonzero_readable
