speaker_id,total_utterances,groups,train_utterances,train_small_utterances,test_utterances,part_utterances,unknown_utterances,exactly_1_utterance,fewer_than_2,fewer_than_3,fewer_than_5,fewer_than_10
87,1,train,1,0,0,0,0,1,1,1,1,1
192,1,train,1,0,0,0,0,1,1,1,1,1
236,1,train,1,0,0,0,0,1,1,1,1,1
1000,1,train,1,0,0,0,0,1,1,1,1,1
1003,1,train,1,0,0,0,0,1,1,1,1,1
1004,1,train_small,0,1,0,0,0,1,1,1,1,1
1008,1,test,0,0,1,0,0,1,1,1,1,1
1012,1,train,1,0,0,0,0,1,1,1,1,1
1016,1,train_small,0,1,0,0,0,1,1,1,1,1
1019,1,train_small,0,1,0,0,0,1,1,1,1,1
1066,1,train,1,0,0,0,0,1,1,1,1,1
1071,1,train_small,0,1,0,0,0,1,1,1,1,1
1078,1,test,0,0,1,0,0,1,1,1,1,1
1086,1,train_small,0,1,0,0,0,1,1,1,1,1
1087,1,train,1,0,0,0,0,1,1,1,1,1
1088,1,train_small,0,1,0,0,0,1,1,1,1,1
1097,1,train,1,0,0,0,0,1,1,1,1,1
1099,1,train_small,0,1,0,0,0,1,1,1,1,1
1107,1,test,0,0,1,0,0,1,1,1,1,1
1131,1,train_small,0,1,0,0,0,1,1,1,1,1
1146,1,train,1,0,0,0,0,1,1,1,1,1
1147,1,train,1,0,0,0,0,1,1,1,1,1
1150,1,train,1,0,0,0,0,1,1,1,1,1
1152,1,train,1,0,0,0,0,1,1,1,1,1
1153,1,test,0,0,1,0,0,1,1,1,1,1
1165,1,train_small,0,1,0,0,0,1,1,1,1,1
1169,1,train_small,0,1,0,0,0,1,1,1,1,1
1183,1,train_small,0,1,0,0,0,1,1,1,1,1
1187,1,train,1,0,0,0,0,1,1,1,1,1
1204,1,train,1,0,0,0,0,1,1,1,1,1
1208,1,train,1,0,0,0,0,1,1,1,1,1
1210,1,train,1,0,0,0,0,1,1,1,1,1
1213,1,train,1,0,0,0,0,1,1,1,1,1
1239,1,train,1,0,0,0,0,1,1,1,1,1
1256,1,train_small,0,1,0,0,0,1,1,1,1,1
1259,1,train,1,0,0,0,0,1,1,1,1,1
1260,1,train_small,0,1,0,0,0,1,1,1,1,1
1276,1,train,1,0,0,0,0,1,1,1,1,1
1300,1,train_small,0,1,0,0,0,1,1,1,1,1
1328,1,train_small,0,1,0,0,0,1,1,1,1,1
1332,1,train,1,0,0,0,0,1,1,1,1,1
1347,1,train,1,0,0,0,0,1,1,1,1,1
1351,1,train_small,0,1,0,0,0,1,1,1,1,1
1352,1,train_small,0,1,0,0,0,1,1,1,1,1
1361,1,train_small,0,1,0,0,0,1,1,1,1,1
1380,1,train,1,0,0,0,0,1,1,1,1,1
1385,1,train,1,0,0,0,0,1,1,1,1,1
1390,1,train_small,0,1,0,0,0,1,1,1,1,1
1401,1,train,1,0,0,0,0,1,1,1,1,1
1413,1,train_small,0,1,0,0,0,1,1,1,1,1
1417,1,train_small,0,1,0,0,0,1,1,1,1,1
1418,1,train_small,0,1,0,0,0,1,1,1,1,1
1422,1,train,1,0,0,0,0,1,1,1,1,1
1425,1,train,1,0,0,0,0,1,1,1,1,1
1428,1,train_small,0,1,0,0,0,1,1,1,1,1
1434,1,train,1,0,0,0,0,1,1,1,1,1
1451,1,train,1,0,0,0,0,1,1,1,1,1
1475,1,train_small,0,1,0,0,0,1,1,1,1,1
1476,1,train,1,0,0,0,0,1,1,1,1,1
1477,1,train,1,0,0,0,0,1,1,1,1,1
1495,1,test,0,0,1,0,0,1,1,1,1,1
1498,1,train,1,0,0,0,0,1,1,1,1,1
1507,1,train_small,0,1,0,0,0,1,1,1,1,1
1508,1,test,0,0,1,0,0,1,1,1,1,1
1516,1,test,0,0,1,0,0,1,1,1,1,1
1527,1,test,0,0,1,0,0,1,1,1,1,1
1543,1,train,1,0,0,0,0,1,1,1,1,1
1546,1,train,1,0,0,0,0,1,1,1,1,1
1559,1,train_small,0,1,0,0,0,1,1,1,1,1
1575,1,train,1,0,0,0,0,1,1,1,1,1
1576,1,train,1,0,0,0,0,1,1,1,1,1
1577,1,train_small,0,1,0,0,0,1,1,1,1,1
1584,1,train,1,0,0,0,0,1,1,1,1,1
1599,1,train,1,0,0,0,0,1,1,1,1,1
1600,1,test,0,0,1,0,0,1,1,1,1,1
1603,1,train,1,0,0,0,0,1,1,1,1,1
1605,1,train,1,0,0,0,0,1,1,1,1,1
1612,1,train_small,0,1,0,0,0,1,1,1,1,1
1614,1,train_small,0,1,0,0,0,1,1,1,1,1
1616,1,train,1,0,0,0,0,1,1,1,1,1
1618,1,train,1,0,0,0,0,1,1,1,1,1
1624,1,train,1,0,0,0,0,1,1,1,1,1
1633,1,train,1,0,0,0,0,1,1,1,1,1
1695,1,train,1,0,0,0,0,1,1,1,1,1
1697,1,train,1,0,0,0,0,1,1,1,1,1
1707,1,train,1,0,0,0,0,1,1,1,1,1
1709,1,train,1,0,0,0,0,1,1,1,1,1
1713,1,train,1,0,0,0,0,1,1,1,1,1
1714,1,train_small,0,1,0,0,0,1,1,1,1,1
1720,1,train,1,0,0,0,0,1,1,1,1,1
1722,1,train,1,0,0,0,0,1,1,1,1,1
1724,1,train,1,0,0,0,0,1,1,1,1,1
1729,1,test,0,0,1,0,0,1,1,1,1,1
1731,1,train,1,0,0,0,0,1,1,1,1,1
1734,1,train,1,0,0,0,0,1,1,1,1,1
1735,1,train_small,0,1,0,0,0,1,1,1,1,1
1739,1,train,1,0,0,0,0,1,1,1,1,1
1741,1,train,1,0,0,0,0,1,1,1,1,1
1793,1,part,0,0,0,1,0,1,1,1,1,1
1794,1,part,0,0,0,1,0,1,1,1,1,1
1796,1,part,0,0,0,1,0,1,1,1,1,1
1797,1,part,0,0,0,1,0,1,1,1,1,1
1799,1,part,0,0,0,1,0,1,1,1,1,1
1802,1,part,0,0,0,1,0,1,1,1,1,1
1817,1,part,0,0,0,1,0,1,1,1,1,1
1840,1,part,0,0,0,1,0,1,1,1,1,1
1850,1,part,0,0,0,1,0,1,1,1,1,1
1868,1,part,0,0,0,1,0,1,1,1,1,1
1881,1,part,0,0,0,1,0,1,1,1,1,1
1908,1,part,0,0,0,1,0,1,1,1,1,1
1924,1,part,0,0,0,1,0,1,1,1,1,1
1925,1,part,0,0,0,1,0,1,1,1,1,1
1929,1,part,0,0,0,1,0,1,1,1,1,1
1946,1,part,0,0,0,1,0,1,1,1,1,1
1955,1,part,0,0,0,1,0,1,1,1,1,1
1964,1,part,0,0,0,1,0,1,1,1,1,1
1968,1,part,0,0,0,1,0,1,1,1,1,1
1971,1,part,0,0,0,1,0,1,1,1,1,1
1973,1,part,0,0,0,1,0,1,1,1,1,1
1975,1,part,0,0,0,1,0,1,1,1,1,1
1979,1,part,0,0,0,1,0,1,1,1,1,1
1981,1,part,0,0,0,1,0,1,1,1,1,1
1982,1,part,0,0,0,1,0,1,1,1,1,1
1983,1,part,0,0,0,1,0,1,1,1,1,1
1984,1,part,0,0,0,1,0,1,1,1,1,1
1985,1,part,0,0,0,1,0,1,1,1,1,1
2039,1,part,0,0,0,1,0,1,1,1,1,1
2044,1,part,0,0,0,1,0,1,1,1,1,1
2047,1,part,0,0,0,1,0,1,1,1,1,1
2049,1,part,0,0,0,1,0,1,1,1,1,1
2059,1,part,0,0,0,1,0,1,1,1,1,1
2067,1,part,0,0,0,1,0,1,1,1,1,1
2070,1,part,0,0,0,1,0,1,1,1,1,1
2072,1,part,0,0,0,1,0,1,1,1,1,1
2075,1,part,0,0,0,1,0,1,1,1,1,1
2077,1,part,0,0,0,1,0,1,1,1,1,1
2079,1,part,0,0,0,1,0,1,1,1,1,1
2080,1,part,0,0,0,1,0,1,1,1,1,1
2081,1,part,0,0,0,1,0,1,1,1,1,1
2082,1,part,0,0,0,1,0,1,1,1,1,1
2083,1,part,0,0,0,1,0,1,1,1,1,1
2084,1,part,0,0,0,1,0,1,1,1,1,1
2096,1,part,0,0,0,1,0,1,1,1,1,1
2098,1,part,0,0,0,1,0,1,1,1,1,1
2100,1,part,0,0,0,1,0,1,1,1,1,1
