speaker_id,total_utterances,train_utterances,train_small_utterances,test_utterances,part_utterances,unknown_utterances,group_count,groups
1,67,67,0,0,0,0,1,train
2,57,57,0,0,0,0,1,train
3,77,77,0,0,0,0,1,train
4,7,7,0,0,0,0,1,train
5,9,9,0,0,0,0,1,train
6,44,44,0,0,0,0,1,train
8,2,2,0,0,0,0,1,train
10,26,26,0,0,0,0,1,train
11,163,163,0,0,0,0,1,train
12,74,74,0,0,0,0,1,train
13,198,198,0,0,0,0,1,train
14,5,5,0,0,0,0,1,train
15,248,248,0,0,0,0,1,train
16,48,48,0,0,0,0,1,train
17,5,5,0,0,0,0,1,train
18,51,51,0,0,0,0,1,train
19,4,4,0,0,0,0,1,train
20,11,11,0,0,0,0,1,train
21,75,75,0,0,0,0,1,train
22,13,13,0,0,0,0,1,train
24,56,56,0,0,0,0,1,train
25,45,45,0,0,0,0,1,train
26,112,112,0,0,0,0,1,train
28,106,106,0,0,0,0,1,train
29,105,105,0,0,0,0,1,train
30,56,56,0,0,0,0,1,train
31,82,82,0,0,0,0,1,train
32,10,10,0,0,0,0,1,train
33,39,39,0,0,0,0,1,train
34,52,52,0,0,0,0,1,train
35,42,42,0,0,0,0,1,train
36,12,12,0,0,0,0,1,train
37,82,82,0,0,0,0,1,train
38,16,16,0,0,0,0,1,train
39,21,21,0,0,0,0,1,train
40,27,27,0,0,0,0,1,train
41,67,67,0,0,0,0,1,train
42,34,34,0,0,0,0,1,train
43,70,70,0,0,0,0,1,train
44,79,79,0,0,0,0,1,train
45,16,16,0,0,0,0,1,train
47,93,93,0,0,0,0,1,train
48,21,21,0,0,0,0,1,train
49,179,179,0,0,0,0,1,train
50,67,67,0,0,0,0,1,train
51,13,13,0,0,0,0,1,train
52,3,3,0,0,0,0,1,train
53,51,51,0,0,0,0,1,train
56,141,141,0,0,0,0,1,train
57,172,172,0,0,0,0,1,train
58,65,65,0,0,0,0,1,train
59,8,8,0,0,0,0,1,train
60,121,121,0,0,0,0,1,train
61,34,34,0,0,0,0,1,train
62,35,35,0,0,0,0,1,train
63,21,21,0,0,0,0,1,train
64,83,83,0,0,0,0,1,train
65,56,56,0,0,0,0,1,train
66,13,13,0,0,0,0,1,train
67,2,2,0,0,0,0,1,train
68,197,197,0,0,0,0,1,train
69,58,58,0,0,0,0,1,train
70,91,91,0,0,0,0,1,train
72,26,26,0,0,0,0,1,train
73,3,3,0,0,0,0,1,train
74,91,91,0,0,0,0,1,train
75,51,51,0,0,0,0,1,train
76,53,53,0,0,0,0,1,train
77,141,141,0,0,0,0,1,train
78,63,63,0,0,0,0,1,train
79,83,83,0,0,0,0,1,train
80,5,5,0,0,0,0,1,train
81,186,186,0,0,0,0,1,train
83,32,32,0,0,0,0,1,train
84,14,14,0,0,0,0,1,train
85,199,199,0,0,0,0,1,train
86,268,268,0,0,0,0,1,train
87,1,1,0,0,0,0,1,train
89,80,80,0,0,0,0,1,train
90,50,50,0,0,0,0,1,train
91,93,93,0,0,0,0,1,train
92,52,52,0,0,0,0,1,train
93,219,219,0,0,0,0,1,train
94,2,2,0,0,0,0,1,train
95,25,25,0,0,0,0,1,train
96,21,21,0,0,0,0,1,train
97,4,4,0,0,0,0,1,train
98,51,51,0,0,0,0,1,train
99,51,51,0,0,0,0,1,train
100,241,241,0,0,0,0,1,train
101,126,126,0,0,0,0,1,train
102,149,149,0,0,0,0,1,train
104,60,60,0,0,0,0,1,train
105,280,280,0,0,0,0,1,train
