feature_shard_path,utterance_count,unique_speakers,min_utterances_per_represented_speaker,max_utterances_per_represented_speaker,dominant_speaker_utterance_count,dominant_speaker_share,feature_indexes_valid_and_unique
train/shard_00000.pt,256,7,5,74,74,0.2890625,True
train/shard_00001.pt,256,2,45,211,211,0.82421875,True
train/shard_00002.pt,256,8,3,75,75,0.29296875,True
train/shard_00003.pt,256,4,3,112,112,0.4375,True
train/shard_00004.pt,256,6,10,82,82,0.3203125,True
train/shard_00005.pt,256,6,13,79,79,0.30859375,True
train/shard_00006.pt,256,2,80,176,176,0.6875,True
train/shard_00007.pt,256,5,3,122,122,0.4765625,True
train/shard_00008.pt,256,4,8,172,172,0.671875,True
train/shard_00009.pt,256,5,21,83,83,0.32421875,True
train/shard_00010.pt,256,5,3,197,197,0.76953125,True
train/shard_00011.pt,256,4,28,141,141,0.55078125,True
train/shard_00012.pt,256,4,5,133,133,0.51953125,True
train/shard_00013.pt,256,4,14,157,157,0.61328125,True
train/shard_00014.pt,256,4,42,84,84,0.328125,True
train/shard_00015.pt,256,3,9,195,195,0.76171875,True
train/shard_00016.pt,256,3,24,181,181,0.70703125,True
train/shard_00017.pt,256,3,60,136,136,0.53125,True
train/shard_00018.pt,256,2,112,144,144,0.5625,True
train/shard_00019.pt,256,5,10,111,111,0.43359375,True
train/shard_00020.pt,256,6,6,107,107,0.41796875,True
train/shard_00021.pt,256,5,9,157,157,0.61328125,True
train/shard_00022.pt,256,4,29,101,101,0.39453125,True
train/shard_00023.pt,256,5,22,121,121,0.47265625,True
train/shard_00024.pt,256,6,7,95,95,0.37109375,True
train/shard_00025.pt,256,5,21,100,100,0.390625,True
train/shard_00026.pt,256,5,6,153,153,0.59765625,True
train/shard_00027.pt,256,3,5,129,129,0.50390625,True
train/shard_00028.pt,256,4,22,143,143,0.55859375,True
train/shard_00029.pt,256,5,22,109,109,0.42578125,True
train/shard_00030.pt,256,6,19,114,114,0.4453125,True
train/shard_00031.pt,256,4,5,226,226,0.8828125,True
train/shard_00032.pt,256,7,13,73,73,0.28515625,True
train/shard_00033.pt,256,8,7,66,66,0.2578125,True
train/shard_00034.pt,256,5,15,99,99,0.38671875,True
train/shard_00035.pt,256,7,14,71,71,0.27734375,True
train/shard_00036.pt,256,4,7,185,185,0.72265625,True
train/shard_00037.pt,256,8,4,89,89,0.34765625,True
train/shard_00038.pt,256,5,6,94,94,0.3671875,True
train/shard_00039.pt,256,5,27,106,106,0.4140625,True
train/shard_00040.pt,256,4,7,152,152,0.59375,True
train/shard_00041.pt,256,6,13,113,113,0.44140625,True
train/shard_00042.pt,256,4,5,128,128,0.5,True
