speaker_id,speaker_label,utterance_count,shard_count
1,0,67,1
2,1,57,1
4,2,7,1
5,3,9,1
12,4,74,1
14,5,5,1
15,6,248,2
16,7,48,2
17,8,5,1
18,9,51,1
20,10,11,1
21,11,75,1
22,12,13,1
24,13,56,1
25,14,45,2
26,15,112,1
28,16,106,1
30,17,56,2
31,18,82,1
32,19,10,1
34,20,52,1
35,21,42,1
37,22,82,2
40,23,27,1
42,24,34,1
43,25,70,1
44,26,79,1
47,27,93,2
49,28,179,2
50,29,67,1
51,30,13,1
53,31,51,1
56,32,141,2
57,33,172,1
59,34,8,1
60,35,121,2
62,36,35,1
63,37,21,1
64,38,83,1
65,39,56,2
66,40,13,1
68,41,197,1
72,42,26,1
75,43,51,2
76,44,53,1
77,45,141,1
78,46,63,2
79,47,83,1
80,48,5,1
81,49,186,2
83,50,32,1
84,51,14,1
85,52,199,2
89,53,80,1
90,54,50,1
91,55,93,2
92,56,52,1
93,57,219,2
99,58,51,1
100,59,241,2
104,60,60,1
105,61,280,2
106,62,188,2
109,63,111,1
111,64,34,1
115,65,25,1
117,66,16,2
119,67,7,1
121,68,41,1
123,69,63,1
124,70,32,1
126,71,120,2
127,72,157,1
129,73,30,1
130,74,9,1
132,75,76,2
134,76,41,1
135,77,85,1
136,78,222,2
137,79,37,1
139,80,24,1
141,81,22,1
147,82,88,2
148,83,52,1
150,84,31,1
151,85,35,1
152,86,7,1
155,87,130,2
156,88,76,1
157,89,24,1
158,90,100,1
159,91,76,2
160,92,6,1
161,93,11,1
164,94,153,1
165,95,153,2
166,96,5,1
169,97,192,2
172,98,22,1
173,99,143,1
174,100,50,2
180,101,109,1
181,102,37,1
182,103,29,1
183,104,85,2
184,105,114,1
186,106,36,1
187,107,19,1
189,108,20,1
190,109,267,2
194,110,8,1
195,111,5,1
196,112,33,2
197,113,73,1
198,114,59,1
199,115,30,1
200,116,44,1
202,117,13,1
205,118,79,2
206,119,38,1
209,120,7,1
210,121,66,1
211,122,7,1
213,123,38,1
215,124,10,1
221,125,47,2
223,126,99,1
224,127,26,1
225,128,44,1
230,129,118,2
235,130,53,1
238,131,14,1
239,132,36,1
241,133,17,1
242,134,19,1
243,135,81,2
244,136,7,1
246,137,54,1
248,138,189,2
249,139,34,1
250,140,28,1
251,141,13,1
252,142,89,1
256,143,37,1
260,144,7,1
262,145,60,2
264,146,90,1
265,147,50,1
266,148,6,1
268,149,121,2
269,150,53,1
270,151,43,1
271,152,106,1
272,153,34,2
277,154,152,1
278,155,32,1
279,156,104,2
281,157,16,1
282,158,13,1
283,159,62,1
284,160,13,1
286,161,118,2
287,162,18,1
289,163,105,1
293,164,132,2
296,165,18,1
297,166,29,1
302,167,48,1
303,168,26,1
305,169,61,1
306,170,19,1
307,171,12,1
311,172,90,2
315,173,43,1
316,174,49,1
319,175,19,1
320,176,37,1
321,177,34,1
322,178,5,1
325,179,132,2
330,180,29,1
331,181,28,1
334,182,24,1
335,183,91,2
337,184,75,1
339,185,9,1
340,186,20,1
341,187,64,1
342,188,13,1
343,189,80,2
345,190,149,1
346,191,128,2
349,192,265,2
350,193,233,2
351,194,80,1
352,195,6,1
353,196,8,1
356,197,134,2
357,198,20,1
358,199,11,1
362,200,16,1
363,201,39,1
365,202,71,1
366,203,53,1
370,204,45,2
373,205,201,1
374,206,90,2
375,207,15,1
376,208,63,1
377,209,18,1
379,210,102,1
380,211,5,1
381,212,30,2
384,213,33,1
386,214,258,2
388,215,13,1
391,216,12,1
392,217,23,1
396,218,90,1
397,219,22,1
399,220,270,2
400,221,281,3
402,222,35,1
407,223,203,1
409,224,8,1
410,225,26,2
412,226,6,1
414,227,43,1
415,228,94,1
416,229,87,1
417,230,56,2
418,231,10,1
419,232,193,1
421,233,55,2
422,234,195,1
423,235,25,2
424,236,84,1
425,237,41,1
426,238,86,1
427,239,101,2
1006,240,112,1
1007,241,9,1
1009,242,9,1
1018,243,5,1
1022,244,5,1
1025,245,19,1
1026,246,5,1
1029,247,305,3
1030,248,147,1
1031,249,28,1
1033,250,49,1
1034,251,10,2
1036,252,26,1
1037,253,9,1
1042,254,44,1
1043,255,8,1
1045,256,8,1
1046,257,9,1
1049,258,5,1
1051,259,7,1
1052,260,5,1
1057,261,96,1
1061,262,205,2
1062,263,106,2
1063,264,87,1
1065,265,56,1
1073,266,30,1
1076,267,14,1
1082,268,27,1
1083,269,8,1
1084,270,8,1
1091,271,25,2
1095,272,5,1
1096,273,7,1
1109,274,43,1
1110,275,196,2
1111,276,54,1
1115,277,22,1
1116,278,8,1
1117,279,16,1
1119,280,7,1
1126,281,8,1
1127,282,7,1
1128,283,14,1
1132,284,25,1
1133,285,15,1
1134,286,42,1
1136,287,7,1
1138,288,77,2
1144,289,6,1
1148,290,1366,6
1156,291,5,1
1160,292,200,2
1162,293,7,1
1167,294,133,1
1168,295,10,1
1171,296,84,2
1172,297,35,1
1174,298,11,1
1176,299,7,1
1178,300,5,1
1180,301,12,1
1181,302,5,1
1182,303,5,1
1185,304,6,1
1186,305,8,1
1189,306,42,1
1196,307,8,1
1199,308,9,1
1200,309,7,1
1201,310,20,2
1202,311,6,1
1206,312,36,1
1209,313,5,1
1211,314,52,1
1214,315,17,1
1215,316,34,1
1216,317,13,1
1217,318,8,1
1222,319,40,1
1226,320,15,1
1232,321,30,2
1236,322,8,1
1243,323,33,1
1246,324,19,1
1249,325,14,1
1251,326,10,1
1252,327,16,1
1253,328,6,1
1254,329,11,1
1255,330,6,1
1257,331,9,1
1258,332,6,1
1261,333,11,1
1263,334,12,1
1264,335,11,1
1268,336,5,1
1274,337,7,1
1278,338,10,1
1282,339,7,1
1283,340,25,1
1284,341,16,1
1285,342,13,2
1289,343,18,1
1291,344,9,1
1292,345,40,1
1294,346,36,1
1295,347,41,1
1301,348,18,1
1305,349,201,2
1306,350,5,1
1307,351,8,1
1308,352,63,1
1309,353,63,1
1311,354,6,1
1313,355,1595,7
1315,356,9,1
1320,357,7,1
1331,358,13,1
1341,359,22,1
1342,360,25,1
1343,361,6,1
1346,362,5,1
1348,363,6,1
1360,364,92,1
1365,365,45,2
1366,366,63,1
1368,367,30,1
1369,368,10,1
1370,369,481,3
1372,370,221,2
1373,371,15,1
1382,372,7,1
1386,373,5,1
1387,374,395,2
1393,375,7,1
1394,376,57,2
1395,377,50,1
1396,378,41,1
1397,379,8,1
1399,380,107,1
1400,381,76,2
1404,382,21,1
1405,383,42,1
1406,384,35,1
1408,385,38,1
1409,386,8,1
1411,387,77,2
1414,388,32,1
1421,389,16,1
1423,390,7,1
1424,391,15,1
1426,392,15,1
1433,393,6,1
1438,394,240,2
1441,395,133,1
1448,396,8,1
1449,397,35,2
1450,398,162,1
1452,399,46,1
1454,400,5,1
1455,401,15,2
1457,402,8,1
1463,403,15,1
1470,404,18,1
1471,405,16,1
1473,406,11,1
1479,407,31,1
1481,408,9,1
1483,409,9,1
1487,410,16,1
1497,411,8,1
1504,412,5,1
1509,413,18,1
1511,414,8,1
1514,415,10,1
1523,416,31,1
1525,417,7,1
1530,418,57,2
1532,419,14,1
1533,420,7,1
1535,421,87,1
1536,422,6,1
1537,423,5,1
1538,424,5,1
1542,425,40,1
1545,426,5,1
1553,427,24,1
1556,428,11,1
1560,429,5,1
1561,430,10,1
1566,431,6,1
1568,432,11,2
1569,433,9,1
1574,434,7,1
1578,435,13,1
1580,436,5,1
1581,437,26,1
1582,438,6,1
1591,439,8,1
1593,440,17,1
1598,441,24,1
1604,442,5,1
1606,443,26,1
1608,444,7,1
1613,445,109,2
1620,446,19,1
1621,447,7,1
1622,448,167,1
1628,449,24,1
1634,450,8,1
1636,451,9,1
1638,452,9,1
1639,453,707,4
1642,454,507,3
1643,455,297,2
1644,456,51,2
1649,457,121,1
1651,458,6,1
1656,459,54,1
1660,460,8,1
1663,461,5,1
1664,462,145,2
1668,463,961,5
1669,464,1051,5
1672,465,13,1
1673,466,39,1
1674,467,32,1
1677,468,165,2
1679,469,38,1
1680,470,203,2
1681,471,11,1
1682,472,126,1
1683,473,284,2
1687,474,25,1
1688,475,22,2
1689,476,7,1
1692,477,15,1
1698,478,211,1
1703,479,5,1
1706,480,18,2
1708,481,18,1
1710,482,11,1
1711,483,6,1
1719,484,6,1
1726,485,10,1
1727,486,190,1
1728,487,10,1
