candidate,batch,samples,unique_speakers,max_speaker_share,distinct_shards,duplicate_indexes
hybrid_w8,0,32,16,0.0625,7,0
hybrid_w8,1,32,16,0.0625,6,0
hybrid_w8,2,32,16,0.0625,6,0
hybrid_w8,3,32,16,0.0625,5,0
hybrid_w8,4,32,16,0.0625,7,0
hybrid_w8,5,32,16,0.0625,7,0
hybrid_w8,6,32,16,0.0625,4,0
hybrid_w8,7,32,16,0.0625,5,0
hybrid_w8,8,32,16,0.0625,5,0
hybrid_w8,9,32,16,0.0625,7,0
hybrid_w8,10,32,16,0.0625,7,0
hybrid_w8,11,32,16,0.0625,7,0
hybrid_w8,12,32,16,0.0625,6,0
hybrid_w8,13,32,16,0.0625,6,0
hybrid_w8,14,32,16,0.0625,7,0
hybrid_w8,15,32,16,0.0625,7,0
hybrid_w8,16,32,16,0.0625,6,0
hybrid_w8,17,32,16,0.0625,5,0
hybrid_w8,18,32,16,0.0625,6,0
hybrid_w8,19,32,16,0.0625,5,0
hybrid_w8,20,32,16,0.0625,5,0
hybrid_w8,21,32,16,0.0625,4,0
hybrid_w8,22,32,16,0.0625,7,0
hybrid_w8,23,32,16,0.0625,6,0
hybrid_w8,24,32,16,0.0625,6,0
hybrid_w8,25,32,16,0.0625,7,0
hybrid_w8,26,32,16,0.0625,7,0
hybrid_w8,27,32,16,0.0625,5,0
hybrid_w8,28,32,16,0.0625,5,0
hybrid_w8,29,32,16,0.0625,6,0
hybrid_w8,30,32,16,0.0625,5,0
hybrid_w8,31,32,16,0.0625,8,0
hybrid_w8,32,32,16,0.0625,4,0
hybrid_w8,33,32,16,0.0625,5,0
hybrid_w8,34,32,16,0.0625,6,0
hybrid_w8,35,32,16,0.0625,5,0
hybrid_w8,36,32,16,0.0625,5,0
hybrid_w8,37,32,16,0.0625,6,0
hybrid_w8,38,32,16,0.0625,5,0
hybrid_w8,39,32,16,0.0625,7,0
hybrid_w8,40,32,16,0.0625,5,0
hybrid_w8,41,32,16,0.0625,8,0
hybrid_w8,42,32,16,0.0625,7,0
hybrid_w8,43,32,16,0.0625,7,0
