speaker_id,split,ranking_sha256
1,validation,d6d271eca8aafcd26c06cc0a9586ea8177653be2450ab7d1716ab86e1d28ff67
2,final_test,fce7320cc9c87be7c98d9f648b81a397e1bc5b65fd62f6d3bc7bfa527724ab84
3,train,604e568f8f931b6a331bcbb7dced00ed48f9e4f3e3c6d4f8e89c3b3d13fa05f6
4,train,095b6a754072d3d05e458bf1e1baecae3f9316f2a56673ad0daa485c6573446d
5,train,4b616f949844a3278aaaddcc30810fb79ac61e17a0de2fe05f5a3f681c0fc288
6,train,027357000a342a06f6711127d91eef48544741440b229638a514dd81aaedfd18
7,train,7ebcab57d8ae428fdacf90dbe4464917bd44c06b4a0673f01118bf05d47a446d
8,train,53e87593e5f56321dc675ae1b6cf6ea2d25373e2ab74dc4215ff82549526fd01
9,validation,da6023123a71eccd90b4d3f0f45658b8c5f2383877b5e2de80b2949d55e29a80
10,train,39261729c342db43701420be331b4eca5536c282370eec09f84e406e51837c24
11,train,d0cfcfa1660a89eca10d55553f61ba2902f22587636c9ed21f3df048b7349d59
12,train,13a4dba61ceb68ddd977c74787bd2e5b22f25696d94192b551005589d88f79bf
13,final_test,f3ae2ab37914eadfa143c70dfd1f3942a03a78ff53a18242454901104bcadc79
14,train,916591f782d60c98c85038423b13dc54cc2a92ea694d4439fb970670aea6b425
15,train,cb90770156a4fffc9561c1517115a670b9001a2bf0f397913a897031448bf4e7
16,train,d304fb0053c9a79d9385cd746e424708f5c245f02d051252f3163f38036ff485
17,train,0f3cf492fddc262f99d4a8fae45e7f67f1c8ead5d75c661b678aa8a17241beb4
18,train,b3211cdd1a55e2ae0a75a54318750b45349957bebd9815662853da640424fee2
19,train,43f87e136629d45815aa07d20db1a0c1654104bb943c2548b16e23f8ad7d6655
20,train,b3cdc822655689f692c1935f8d33c4b949b82782c08e80ae05b3211fb2731655
21,validation,db1ff33aae085bd203e13fab564c37e1941df407b630faba65701cf8646fe1f1
22,train,b2be0495cb089fe6cbb78b0cea3eadfe038c0bfeacb33370cad059c5150a58ff
23,train,36efa784ec3e18cf097101e401872a8390599c2f3dae2ce47bb56e3ad456b87d
24,train,2ad2b1e1857ec13fc2fcb9c2eb37e9529949b7d4a128611425ddd1f36cfdb6cb
25,train,b392d439100f432a926cc3ec527d6920307e4e70353a944da53af36f512dd0bd
26,train,72d49a179fb734b15e3df776c5e86262b6e927bc2c6ff87366dc54cbccb01db6
27,train,7f936ec5b9e919417fceb744849130b6cd2e5a8d1e79e1e1a4a5849449ff74c6
28,train,67f3b090ba59cd89f9ed96dff2d906f56159a39e0865c30561ff34f677c3a27b
29,train,8fa5e9555fc3f97b29dcb9bd2f8d71b00a8a2684d480aead13587d5054efddb6
30,train,88c7bc4a1dd8efbe9f89fea8e0722e67428f0e4527e580253509af6996bfe5c2
31,final_test,f9832041e74e66fae925113cde11fe8aeaa3d8ecceb62822289769288f488198
32,train,4f78cf7c7a9568c65a02b1d0cf622bfc149e0f55f4e212d7b5d00223254a72b5
33,train,ccf7452a51a587bdb45a2c0c188fd777b5cd95d5c131382c78fe5d7887cc480c
34,final_test,f495fbe86182953fe85f9d57f3b0f5a262a97959005fdd3fe92ec7fb1d596292
