speaker_id,final_split,trusted_utterance_count,train_utterance_count,train_small_utterance_count,provenance_signature,utterance_bucket,eligibility_reason
1000,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1003,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1004,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1011,excluded,3,2,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1012,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1014,excluded,3,0,3,train_small_only,under_10,fewer_than_5_trusted_utterances
1016,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1017,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1019,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1050,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
1054,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1055,excluded,4,3,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1056,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1066,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1067,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
1070,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1071,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1072,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1077,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1079,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1080,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1081,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1085,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1086,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1087,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1088,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1089,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1093,excluded,2,0,2,train_small_only,under_10,fewer_than_5_trusted_utterances
1097,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1098,excluded,4,0,4,train_small_only,under_10,fewer_than_5_trusted_utterances
1099,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1100,excluded,2,0,2,train_small_only,under_10,fewer_than_5_trusted_utterances
1101,excluded,2,0,2,train_small_only,under_10,fewer_than_5_trusted_utterances
1103,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1104,excluded,2,0,2,train_small_only,under_10,fewer_than_5_trusted_utterances
1105,excluded,2,0,2,train_small_only,under_10,fewer_than_5_trusted_utterances
1108,excluded,2,0,2,train_small_only,under_10,fewer_than_5_trusted_utterances
1121,excluded,3,0,3,train_small_only,under_10,fewer_than_5_trusted_utterances
1122,excluded,4,0,4,train_small_only,under_10,fewer_than_5_trusted_utterances
1124,excluded,3,2,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1125,excluded,3,2,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1130,excluded,3,0,3,train_small_only,under_10,fewer_than_5_trusted_utterances
1131,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1139,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
1141,excluded,3,1,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1142,excluded,4,2,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1143,excluded,4,1,3,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1145,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1146,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1147,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1149,excluded,3,2,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1150,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1152,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1154,excluded,4,3,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1161,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1163,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
1164,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1165,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1166,excluded,3,1,2,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1169,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1170,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1177,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1183,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1187,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1191,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
1192,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1194,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1197,excluded,3,2,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1203,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
1204,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1207,excluded,4,3,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1208,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1210,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1213,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1218,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1221,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
1223,excluded,4,4,0,train_only,under_10,fewer_than_5_trusted_utterances
1229,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
1233,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1234,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1235,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1237,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1239,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1240,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1241,excluded,2,1,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1244,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
1245,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
1247,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
1248,excluded,3,3,0,train_only,under_10,fewer_than_5_trusted_utterances
1250,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
