speaker_id,final_split,trusted_utterance_count,train_utterance_count,train_small_utterance_count,provenance_signature,utterance_bucket,eligibility_reason
1,train,67,67,0,train_only,50+,evaluation_eligible_assigned_train
10,test,26,26,0,train_only,20-49,evaluation_eligible_at_least_10
100,train,241,241,0,train_only,50+,evaluation_eligible_assigned_train
1000,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1003,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1004,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1006,train,112,52,60,train_and_train_small,50+,evaluation_eligible_assigned_train
1007,train,9,4,5,train_and_train_small,under_10,train_eligible
1009,train,9,7,2,train_and_train_small,under_10,train_eligible
101,validation,126,126,0,train_only,50+,evaluation_eligible_at_least_10
1011,excluded,3,2,1,train_and_train_small,under_10,fewer_than_5_trusted_utterances
1012,excluded,1,1,0,train_only,under_10,fewer_than_5_trusted_utterances
1014,excluded,3,0,3,train_small_only,under_10,fewer_than_5_trusted_utterances
1016,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
1017,excluded,2,2,0,train_only,under_10,fewer_than_5_trusted_utterances
1018,train,5,3,2,train_and_train_small,under_10,train_eligible
1019,excluded,1,0,1,train_small_only,under_10,fewer_than_5_trusted_utterances
102,test,149,149,0,train_only,50+,evaluation_eligible_at_least_10
1020,validation,11,11,0,train_only,10-19,evaluation_eligible_at_least_10
1022,train,5,3,2,train_and_train_small,under_10,train_eligible
1025,train,19,14,5,train_and_train_small,10-19,evaluation_eligible_assigned_train
1026,train,5,3,2,train_and_train_small,under_10,train_eligible
1028,test,55,28,27,train_and_train_small,50+,evaluation_eligible_at_least_10
1029,train,305,260,45,train_and_train_small,50+,evaluation_eligible_assigned_train
1030,train,147,74,73,train_and_train_small,50+,evaluation_eligible_assigned_train
1031,train,28,28,0,train_only,20-49,evaluation_eligible_assigned_train
1032,test,33,33,0,train_only,20-49,evaluation_eligible_at_least_10
