speaker_id,final_split,utterance_count,duration_seconds,provenance_composition,duplicate_file_count,utterance_bucket,eligibility_status,eligibility_reason,selection_hash,split_seed,split_version
1,test,141,423.000000,train=141|train_small=0|part=0|test=0,0,100-199,eligible_evaluation,at_least_20_utterances,455ca04dbfda23a4a95378ffb61b277d5c73465548ae524e4d65d20b4b16202f,20260729,v2
2,train,166,498.000000,train=166|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,728847ec66136a7a35564dad96b9fe73caa888644f3f3c3fd38bf874bf6bbf36,20260729,v2
3,train,153,459.000000,train=153|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,c76f68c2f4371f317ee4db5c6787510d159d38278931190dd110af618043bdac,20260729,v2
4,train,12,36.000000,train=12|train_small=0|part=0|test=0,0,2-19,eligible_train,at_least_2_utterances,464b174bcdaff36222367750868dc792b8ecf9e94eb69fe32a16862798b55fd5,20260729,v2
5,train,12,36.000000,train=12|train_small=0|part=0|test=0,0,2-19,eligible_train,at_least_2_utterances,edd04d72c3bcc93dcd40c76fe874c936a44d218158d574a6dc75c616536c5631,20260729,v2
6,validation,109,327.000000,train=109|train_small=0|part=0|test=0,0,100-199,eligible_evaluation,at_least_20_utterances,1093084c08e9ef249cb4bad01aa4e0d14ed49f901b120ede36904c810145c756,20260729,v2
7,train,159,477.000000,train=159|train_small=0|part=0|test=0,0,100-199,eligible_train,at_least_2_utterances,ee3c068ebb0aa043da6e6b3921400fdf049a6dc108faddf8817a4ce63a3075e2,20260729,v2
8,train,10,30.000000,train=10|train_small=0|part=0|test=0,0,2-19,eligible_train,at_least_2_utterances,5f5ca727db7e3ccdf4225b5f0c94cf78bc218767415a907cda7e5b4e6bd20136,20260729,v2
9,validation,46,138.000000,train=46|train_small=0|part=0|test=0,0,20-49,eligible_evaluation,at_least_20_utterances,1a6df4066957be2dd5d36ad5df5fce0584b851fb6807ddcde1b9ed4e98516448,20260729,v2
10,validation,45,135.000000,train=45|train_small=0|part=0|test=0,0,20-49,eligible_evaluation,at_least_20_utterances,06256114fb52b6e3f15094d648b3ceb1a49a3ea2c85b4564fdcb23f26f745b04,20260729,v2
